system,frame_index,vdwaals_kcal_mol,eel_kcal_mol,egb_kcal_mol,esurf_kcal_mol,delta_g_gas_kcal_mol,delta_g_solv_kcal_mol,delta_total_kcal_mol
MERS,0,-43.49780000000001,-1.6308999999998335,10.909599999999953,-4.641493679999999,-45.12870000000212,6.268106319999799,-38.860593680002545
MERS,1,-41.82910000000013,-5.148899999999919,13.722199999999962,-4.455376560000001,-46.97800000000096,9.266823440000103,-37.711176559998584
MERS,2,-39.148699999999856,-3.7699999999993565,12.411500000000169,-4.428118800000007,-42.91869999999807,7.983381200000133,-34.93531879999521
MERS,3,-37.74779999999989,-4.538600000000265,13.078199999999967,-4.328077680000007,-42.28640000000061,8.75012231999986,-33.536277680002115
MERS,4,-45.34770000000015,-3.4371999999999474,13.31480000000007,-4.392825840000002,-48.78490000000078,8.921974160000081,-39.862925840001836
MERS,5,-39.50980000000013,-4.127600000000424,13.088700000000351,-4.39463160000001,-43.637400000000554,8.694068400000454,-34.94333159999874
MERS,6,-41.492000000000026,-5.035200000000508,13.672399999999962,-4.709496240000007,-46.52720000000099,8.962903760000154,-37.564296240000836
MERS,7,-38.7448000000001,-0.6893000000002516,9.569799999999798,-4.225252319999988,-39.43410000000103,5.344547679999824,-34.08955231999757
MERS,8,-45.807900000000146,-7.016299999999468,16.252700000000036,-4.728272400000007,-52.824200000000985,11.5244276000001,-41.29977239999952
MERS,9,-40.87730000000014,-2.633199999999178,11.12460000000016,-4.451201999999999,-43.51049999999728,6.673398000000077,-36.83710199999493
MERS,10,-44.92680000000007,-3.609899999998742,13.57089999999966,-4.595258879999992,-48.53669999999859,8.97564112000008,-39.56105887999668
MERS,11,-45.80340000000006,-4.9266000000000645,14.710600000000053,-4.6869343200000095,-50.730000000001716,10.023665680000128,-40.70633432000228
MERS,12,-42.00009999999984,-4.078199999999779,12.206800000000172,-4.634562960000002,-46.07830000000189,7.572237039999985,-38.50606296000418
MERS,13,-43.48239999999993,-3.3617000000008126,11.691400000000192,-4.571272079999991,-46.84409999999983,7.120127920000272,-39.723972079999555
MERS,14,-44.35160000000002,-9.285699999999366,16.947899999999933,-4.6417024799999975,-53.63730000000007,12.306197520000035,-41.33110248000276
MERS,15,-38.58890000000001,-1.361299999999261,8.946199999999736,-4.1592088799999924,-39.95019999999927,4.7869911199997865,-35.16320887999766
MERS,16,-46.55939999999997,-7.24000000000089,16.42639999999995,-4.591733760000012,-53.799400000001086,11.834666240000164,-41.964733760002744
MERS,17,-42.280900000000074,-3.5038999999999447,12.130500000000314,-4.580390879999997,-45.78479999999979,7.550109120000332,-38.234690880001736
MERS,18,-46.80469999999989,-6.938999999999417,16.26829999999977,-4.780001520000008,-53.74369999999931,11.488298479999804,-42.25540151999973
MERS,19,-40.25310000000007,-7.01270000000056,17.098200000000176,-4.463872560000004,-47.26579999999904,12.63432744000006,-34.631472560002166
MERS,20,-45.38910000000006,-8.261100000000415,16.577899999999985,-4.642205039999998,-53.65020000000139,11.935694959999957,-41.7145050400003
MERS,21,-44.83459999999985,-6.469700000000639,14.583100000000059,-4.683947040000003,-51.30429999999981,9.899152959999913,-41.40514703999967
MERS,22,-40.671600000000055,0.44060000000159505,8.65299999999992,-4.320722880000003,-40.23099999999823,4.332277120000018,-35.8987228800014
MERS,23,-40.37110000000003,-5.050099999999972,13.866500000000041,-4.437359280000001,-45.42120000000068,9.429140720000012,-35.99205927999885
MERS,24,-36.39600000000012,5.321899999999381,3.19829999999987,-3.7906523999999986,-31.074100000001877,-0.5923524000002711,-31.666452400005333
MERS,25,-37.22539999999999,-3.690100000000214,10.692800000000098,-4.198415039999995,-40.91550000000021,6.494384959999989,-34.42111503999544
MERS,26,-43.549200000000035,-4.5010999999989245,12.493599999999917,-4.429316159999992,-48.050300000001236,8.064283839999954,-39.986016160000375
MERS,27,-42.181099999999994,-4.501800000000568,13.784800000000072,-4.565519280000012,-46.6829000000001,9.219280720000032,-37.46361927999779
MERS,28,-48.101899999999866,-6.976900000000082,16.35810000000002,-4.66892424000001,-55.07880000000063,11.68917576000014,-43.389624239998675
MERS,29,-45.10239999999999,-9.10180000000162,18.6789000000001,-4.592365920000002,-54.204200000000924,14.086534080000156,-40.11766592000032
MERS,30,-46.45229999999996,-5.247699999999099,14.8826000000002,-4.624814159999998,-51.699999999998155,10.257785839999919,-41.4422141599946
MERS,31,-38.64820000000002,-2.8891999999994162,11.53280000000035,-4.344009840000002,-41.53740000000011,7.188790160000362,-34.3486098399977
MERS,32,-42.153299999999966,-0.9900000000013982,7.710200000000006,-4.15479312000001,-43.14330000000136,3.555406880000067,-39.587893119999706
MERS,33,-43.334599999999966,-5.614900000000798,13.523999999999866,-4.368884399999999,-48.94950000000099,9.155115599999867,-39.79438439999885
MERS,34,-43.6245,-1.4255999999996583,11.820800000000041,-4.5846424799999905,-45.05009999999807,7.236157519999994,-37.813942479995795
MERS,35,-40.19130000000001,-1.98509999999942,11.328400000000132,-4.436895599999987,-42.17639999999898,6.891504399999988,-35.28489559999899
MERS,36,-39.786500000000046,-0.5844999999998599,9.615800000000078,-4.59139464000001,-40.37099999999991,5.024405360000168,-35.3465946399977
MERS,37,-45.724999999999966,-5.385100000000392,14.178799999999834,-4.5918504000000135,-51.11010000000036,9.586949599999777,-41.52315040000013
MERS,38,-40.76490000000009,-4.663499999998674,13.607100000000043,-4.558970160000012,-45.42839999999922,9.048129840000103,-36.38027015999889
MERS,39,-43.46140000000004,-4.482300000000002,13.328400000000089,-4.514680800000006,-47.943700000000035,8.813719199999998,-39.12998079999777
MERS,40,-41.343000000000046,-6.189499999999899,14.806800000000216,-4.484063520000005,-47.5325000000004,10.322736480000197,-37.20976351999793
MERS,41,-45.631199999999936,-2.456099999998923,13.955499999999931,-4.914485279999999,-48.08729999999954,9.041014719999946,-39.04628527999664
MERS,42,-44.20450000000007,-5.0132000000010315,13.745500000000103,-4.830746399999997,-49.217700000002004,8.914753599999907,-40.302946399999826
MERS,43,-43.69449999999992,0.15720000000022338,10.75309999999965,-4.7509020000000035,-43.53729999999765,6.002197999999803,-37.53510199999626
MERS,44,-45.3349000000001,-2.940100000000154,12.708999999999675,-4.573759679999997,-48.275000000000475,8.135240319999664,-40.13975968000218
MERS,45,-44.443899999999836,-3.92860000000006,14.604999999999965,-4.803253200000004,-48.372499999999214,9.801746800000359,-38.57075319999658
MERS,46,-43.24049999999979,-4.3270999999996,13.877800000000004,-4.817491919999984,-47.567600000001214,9.060308079999864,-38.50729192000226
MERS,47,-46.23359999999995,-5.724199999999911,15.214900000000014,-4.717548000000011,-51.95779999999918,10.497351999999974,-41.46044799999807
